"title","length","budget","rating","mpaa"
"'G' Men",85,450000,7.2,"Missing"
"'Manos' the Hands of Fate",74,19000,1.6,"Missing"
"'Til There Was You",113,23000000,4.8,"PG-13"
".com for Murder",96,5000000,3.7,"Missing"
"10 Things I Hate About You",97,16000000,6.7,"PG-13"
"100 Mile Rule",98,1100000,5.6,"R"
"100 Proof",94,140000,3.3,"Missing"
"101",117,200000,7.8,"Missing"
"101-vy kilometer",103,200000,5.8,"Missing"
"102 Dalmatians",100,85000000,4.7,"Missing"
"11:14",95,6000000,7.1,"Missing"
"12 Angry Men",96,340000,8.7,"Missing"
"12 to the Moon",74,150000,2.8,"Missing"
"13 Going On 30",98,37000000,6.4,"PG-13"
"13th Warrior, The",102,85000000,6.1,"R"
"1492: Conquest of Paradise",154,47000000,6,"Missing"
"15 Minutes",120,42000000,6.1,"R"
"1776",180,4000000,7.3,"PG"
"1900",245,9000000,7.5,"Missing"
"1941",146,35000000,5.6,"Missing"
"2 Fast 2 Furious",107,76000000,5.1,"PG-13"
"20 Dates",87,60000,5.4,"R"
"20,000 Leagues Under the Sea",105,200000,6.2,"Missing"
"200 Cigarettes",101,6000000,5.4,"R"
"200 Motels",98,679000,5.2,"Missing"
"20000 Leagues Under the Sea",127,5000000,7.1,"Missing"
"2001: A Space Odyssey",156,10500000,8.3,"Missing"
"2001: A Space Travesty",99,26000000,2.5,"R"
"2046",129,12000000,7.6,"R"
"21 Grams",124,20000000,8,"R"
"24 Hour Woman, The",93,2500000,5.6,"R"
"25 Watts",92,200000,7,"Missing"
"25th Hour",135,15000000,7.8,"R"
"28 Days",103,43000000,6,"PG-13"
"28 Days Later...",113,8000000,7.3,"R"
"3 AM",22,32000,4.8,"Missing"
"3 Strikes",82,6000000,3.7,"Missing"
"3 Women",124,1500000,7.7,"Missing"
"3000 Miles to Graceland",125,62000000,5.4,"R"
"40 Days and 40 Nights",96,17000000,5.4,"R"
"42nd Street",89,439000,7.5,"Missing"
"5 Dark Souls",94,1500,7.3,"Missing"
"5 Dead on the Crimson Canvas",96,25000,2,"Missing"
"5,000 Fingers of Dr. T., The",89,1600000,6.7,"Missing"
"50 First Dates",99,75000000,6.8,"PG-13"
"51st State, The",92,28000000,6.1,"R"
"54",100,13000000,5.4,"R"
"55 Days at Peking",150,17000000,6.6,"Missing"
"6th Day, The",123,82000000,5.9,"PG-13"
"72 metra",100,1600000,6,"Missing"
"7th Voyage of Sinbad, The",88,650000,6.9,"Missing"
"8 Mile",110,41000000,6.8,"R"
"80's Ending",9,10000,8.3,"Missing"
"8MM",123,40000000,5.9,"R"
"90",14,4000,9.1,"Missing"
"9:30",13,12000,7.1,"Missing"
"A.N.I. 1240",13,8000,5.9,"Missing"
"ABCD",105,200000,5.4,"Missing"
"AVP: Alien Vs. Predator",102,45000000,5.4,"PG-13"
"Abandon",99,25000000,4.7,"PG-13"
"Abbott and Costello Go to Mars",81,754000,5.2,"Missing"
"Abbott and Costello Meet Captain Kidd",75,450000,5.3,"Missing"
"Abby",89,400000,5.9,"Missing"
"Abby Singer",79,1500,3.5,"Missing"
"Aberdeen",106,6500000,7.3,"Missing"
"Able Edwards",87,30000,6.2,"Missing"
"Able's House Is Green, The",13,6800,9.4,"Missing"
"About Schmidt",125,30000000,7.3,"R"
"About a Boy",101,27000000,7.5,"PG-13"
"Abschied",80,15000,6.7,"Missing"
"Absolon",96,8000000,4.1,"R"
"Absolute Power",121,50000000,6.4,"R"
"Absolution",23,13000,1.6,"Missing"
"Abyss, The",171,69500000,7.4,"PG-13"
"Accident",105,600000,7.1,"Missing"
"Accountant, The",50,5000,6.3,"Missing"
"Ace Ventura: Pet Detective",86,12000000,6.2,"PG-13"
"Ace Ventura: When Nature Calls",90,30000000,4.9,"PG-13"
"Ace in the Hole",111,1821052,7.9,"Missing"
"Across the Wide Missouri",78,5000000,6.1,"Missing"
"Across to Singapore",86,290000,6.4,"Missing"
"Actors Anonymous: The Truth Behind the Dream",60,30000,3.2,"Missing"
"Acts of Betrayal",90,3000000,4.6,"Missing"
"Adam Had Four Sons",81,488000,6.2,"Missing"
"Adaptation.",114,19000000,7.9,"R"
"Addams Family, The",99,38000000,6.4,"Missing"
"Adventure",135,3500000,5.4,"Missing"
"Adventure's End",60,90000,3.3,"Missing"
"Adventures of Baron Munchausen, The",125,46630000,6.8,"Missing"
"Adventures of Bob & Doug McKenzie: Strange Brew, The",90,4000000,6.6,"Missing"
"Adventures of Dollie, The",12,0,5.1,"Missing"
"Adventures of Elmo in Grouchland, The",89,17000000,5.5,"Missing"
"Adventures of Huck Finn, The",108,6500000,5.9,"Missing"
"Adventures of Lucky Pierre, The",70,7100,1.9,"Missing"
"Adventures of Marco Polo, The",100,2000000,5.8,"Missing"
"Adventures of Pinocchio, The",92,25000000,5.6,"Missing"
"Adventures of Pluto Nash, The",95,100000000,3.9,"PG-13"
"Adventures of Robin Hood, The",102,1900000,8.2,"PG"
"Adventures of Rocky & Bullwinkle, The",88,76000000,4.3,"PG"
"Affairs of Cellini, The",80,549370,5.8,"Missing"
"Affairs with Bears",27,7000,8.3,"Missing"
"Affliction",114,6000000,6.9,"R"
"After Hours",96,4500000,7.4,"Missing"
"After Image",92,1200000,3.9,"R"
"After Midnight",90,3000000,5.1,"Missing"
"After Sex",96,5000000,4.5,"Missing"
"After the Sunset",97,58000000,6,"PG-13"
"Afterschool Delight",10,5000,6.3,"Missing"
"Age of Innocence",101,850000,6.1,"Missing"
"Age of Innocence, The",139,34000000,7.1,"Missing"
"Agent Cody Banks",102,26000000,5.5,"PG"
"Agent Cody Banks 2: Destination London",100,26000000,3.8,"PG"
"Agent on Ice",96,2500000,4.4,"Missing"
"Aida degli alberi",75,7000000,4.3,"Missing"
"Aimee Semple McPherson",112,500000,8.4,"Missing"
"Air Bud",98,3000000,4.7,"PG"
"Air Force One",124,85000000,6.3,"R"
"Air Marshal",90,500000,3,"R"
"Airborne",91,2600000,5.2,"Missing"
"Airmail",84,305000,6,"Missing"
"Airplane!",88,3500000,7.8,"Missing"
"Airport",137,10000000,6.4,"Missing"
"Airport 1975",107,3000000,4.9,"Missing"
"Akasha",82,1500,7.3,"Missing"
"Akumulator 1",102,2000000,7.1,"Missing"
"Aladdin",90,28000000,7.6,"Missing"
"Alamo, The",192,12000000,6.6,"Missing"
"Alamo, The",137,95000000,5.9,"PG-13"
"Alan Smithee Film: Burn Hollywood Burn, An",86,10000000,3.2,"R"
"Albino Alligator",97,5000000,6,"R"
"Alex's Apartment",80,45000,6.8,"Missing"
"Alexander",175,150000000,5.5,"R"
"Alexander's Ragtime Band",106,2000000,7.5,"Missing"
"Alferd Packer: The Musical",97,125000,7,"R"
"Alfie",114,800000,7.1,"Missing"
"Alfie",103,60000000,6,"R"
"Ali",165,107000000,6.4,"R"
"Alias",98,1500000,5.7,"Missing"
"Alice",102,12000000,6.4,"Missing"
"Alice Doesn't Live Here Anymore",112,85000,7.3,"Missing"
"Alice in Wonderland",75,3000000,7.2,"Missing"
"Alice's Adventures in Wonderland",95,2500000,5.6,"Missing"
"Alien",116,11000000,8.3,"R"
"Alien Abduction",90,600000,1.9,"R"
"Alien Dead",69,12000,2.4,"Missing"
"Alien Escape",85,1000000,5.6,"R"
"Alien Nation",91,16000000,6,"Missing"
"Alien: Resurrection",116,70000000,6,"R"
"Aliens",154,18500000,8.3,"R"
"Alive",127,32000000,6.7,"Missing"
"All About the Benjamins",95,14000000,5.4,"R"
"All Quiet on the Western Front",147,1200000,8.2,"Missing"
"All This, and Heaven Too",141,1370000,7.4,"Missing"
"All Through the Night",107,750000,7,"Missing"
"All the President's Men",138,8500000,8,"Missing"
"All the Pretty Horses",116,45000000,5.6,"PG-13"
"All the Queen's Men",105,25000000,5,"PG-13"
"All the Real Girls",108,1000000,6.8,"R"
"All the Stage Is a World",89,12000,7,"Missing"
"All the Vermeers in New York",87,250000,5.9,"Missing"
"Alligator",89,1000000,5.5,"Missing"
"Alligator II: The Mutation",92,3000000,2.7,"Missing"
"Almost Famous",162,60000000,8,"R"
"Almost You",96,1000000,4.9,"Missing"
"Aloha, Bobby and Rose",85,60000,5,"Missing"
"Alone in the Dark",96,20000000,2.1,"R"
"Along Came Polly",90,42000000,5.8,"PG-13"
"Along Came a Spider",104,28000000,6.1,"R"
"Along for the Ride",99,150000,7.6,"Missing"
"Alpha Dead",11,5000,8,"Missing"
"Alpha Incident, The",95,200000,4,"Missing"
"Als je begrijpt wat ik bedoel",84,2000000,7.5,"Missing"
"Always",106,29500000,6.2,"Missing"
"Always Late",6,1000,5.8,"Missing"
"Amadeus",180,18000000,8.3,"R"
"Ame agaru",91,3800000,7.8,"Missing"
"America 3000",84,2000000,3.7,"Missing"
"America's Sweethearts",102,48000000,5.8,"PG-13"
"American Beauty",121,15000000,8.5,"R"
"American Bickman Burger, The",18,100000,5.7,"Missing"
"American Boy: A Profile of: Steven Prince",55,155000,7.2,"Missing"
"American Desi",100,250000,6.8,"Missing"
"American Drive-In",92,10000000,4.1,"Missing"
"American Gigolo",117,4800000,5.7,"Missing"
"American Graffiti",110,777000,7.6,"Missing"
"American History X",119,10000000,8.4,"R"
"American Jedi",8,2000,7.9,"Missing"
"American Me",125,16000000,6.6,"Missing"
"American Ninja 2: The Confrontation",90,350000,3.7,"Missing"
"American Outlaws",94,35000000,5.5,"PG-13"
"American Pie",95,11000000,6.8,"R"
"American Pie 2",105,30000000,6.3,"R"
"American President, The",114,62000000,6.9,"PG-13"
"American Psycho",102,8000000,6.8,"R"
"American Raspberry",75,50000,5.5,"Missing"
"American Wedding",103,55000000,6.3,"R"
"American Werewolf in London, An",92,10000000,7.2,"Missing"
"American Werewolf in Paris, An",105,22000000,5,"R"
"American Yearbook",90,500000,9.3,"Missing"
"American in Paris, An",113,2723903,7.4,"Missing"
"Amistad",152,40000000,7,"R"
"Amityville Horror, The",90,18000000,5.8,"R"
"Amor y el espanto, El",110,650000,7,"Missing"
"Amores perros",153,2000000,8.2,"R"
"Anaconda",89,45000000,4.1,"Missing"
"Anacondas: The Hunt for the Blood Orchid",97,25000000,4.2,"PG-13"
"Analyze This",109,30000000,6.6,"R"
"Anastasia",94,53000000,6.5,"Missing"
"Anatomy of a Fight",80,17000,6.5,"Missing"
"Anchorman: The Legend of Ron Burgundy",104,26000000,6.5,"PG-13"
"And Baby Makes Three",84,700000,5.3,"Missing"
"And I Lived",107,20000,9.4,"Missing"
"And Now for Something Completely Different",85,100000,7.4,"Missing"
"And Then Came Summer",115,2300,4.1,"Missing"
"Andy",73,125000,8.1,"Missing"
"Andy in Love",11,4000,8.2,"Missing"
"Angel Eyes",102,38000000,5.6,"R"
"Angel Heart",113,17000000,7.1,"Missing"
"Angela's Ashes",145,25000000,6.8,"Missing"
"Anger Management",106,75000000,6,"PG-13"
"Angry Red Planet, The",83,190000,4.7,"Missing"
"Anima",26,50000,7.9,"Missing"
"Animal House",109,3000000,7.5,"Missing"
"Animal, The",84,22000000,4.8,"R"
"Animatrix: Final Flight of the Osiris, The",11,5000000,7.6,"PG-13"
"Ann Vickers",76,303000,6.1,"Missing"
"Anna Christie",89,376000,6.6,"Missing"
"Anna Karenina",95,1152000,7.3,"Missing"
"Anna and the King",148,75000000,6.6,"PG-13"
"Annie",126,50000000,5.7,"Missing"
"Annie Get Your Gun",107,3768785,7.2,"Missing"
"Annie Hall",93,4000000,8.3,"Missing"
"Another Language",77,272297,6.6,"Missing"
"Another Woman",84,10000000,7.2,"Missing"
"Another You",94,26000000,4.4,"Missing"
"Anthony Adverse",141,1050500,6.7,"Missing"
"Anthrax",90,2500000,4.1,"Missing"
"Antikiller",114,5000000,5.4,"Missing"
"Antitrust",108,30000000,6,"PG-13"
"Antman, The",94,800000,7.2,"Missing"
"Antony and Cleopatra",160,1600000,4.9,"Missing"
"Antwone Fisher",117,12500000,7.4,"PG-13"
"Antz",83,60000000,7,"PG"
"Anus Magillicutty",70,5000,1.8,"Missing"
"Any Given Sunday",156,62000000,6.4,"R"
"Any Number Can Play",112,1465641,6.3,"Missing"
"Anyone",8,1000,9.6,"Missing"
"Anything Else",108,18000000,6.5,"R"
"Anything Goes",92,1100000,6,"Missing"
"Anywhere But Here",114,23000000,5.9,"PG-13"
"Apache Woman",69,80000,4,"Missing"
"Aparte",91,90000,8.5,"Missing"
"Apartment Zero",124,4000000,6.2,"Missing"
"Apartment, The",125,3000000,8.4,"Missing"
"Apocalypse Now",202,31500000,8.5,"R"
"Apollo 13",140,62000000,7.5,"PG"
"Apostle, The",134,5000000,7.2,"PG-13"
"Appointment, The",89,45000,5.3,"Missing"
"Apt Pupil",112,14000000,6.4,"R"
"Arachnophobia",103,31000000,6.1,"Missing"
"Arc",30,9000,9.4,"Missing"
"Arch of Triumph",133,5000000,5.6,"Missing"
"Are These Our Children",84,400000,6,"Missing"
"Are We There Yet?",95,32000000,3.5,"PG"
"Are You Popular?",10,11000,4.3,"Missing"
"Argentino en New York, Un",95,3000000,4.2,"Missing"
"Aristocats, The",78,4000000,6.6,"Missing"
"Arizona",121,2000000,6.8,"Missing"
"Arlington Road",117,21500000,7.1,"R"
"Armageddon",153,140000000,5.7,"PG-13"
"Armed Response",86,1500000,4.2,"Missing"
"Army of Darkness",96,11000000,7.4,"R"
"Around the Fire",106,1200000,5.3,"R"
"Around the World in 80 Days",120,110000000,5.7,"PG"
"Around the World in Eighty Days",175,6000000,6.8,"Missing"
"Arrangement",109,3200000,9.2,"Missing"
"Art Thief Musical!",20,25000,8.5,"Missing"
"Arthur",97,7000000,6.6,"Missing"
"Artie Shaw: Time Is All You've Got",114,250000,7.9,"Missing"
"Artificial Intelligence: AI",146,90000000,6.8,"PG-13"
"Artists and Models",109,1500000,6.2,"Missing"
"As Good as It Gets",139,50000000,7.7,"PG-13"
"As You Desire Me",70,460733,6,"Missing"
"Asburied",8,2000,8.7,"Missing"
"Ascension",85,5500,8.8,"Missing"
"Asesino en serio",84,2500000,5.8,"Missing"
"Ash Wednesday",23,4999,8.6,"Missing"
"Assassination of Trotsky, The",103,2500000,5,"Missing"
"Assassins",132,50000000,5.7,"R"
"Assault of the Killer Bimbos",85,250000,4,"Missing"
"Assault on Precinct 13",91,100000,7.3,"Missing"
"Assault on Precinct 13",109,20000000,6.3,"R"
"Assisted Living",78,500000,7.4,"Missing"
"Asterix in Amerika",85,12500000,5.4,"Missing"
"Astronaut's Wife, The",109,34000000,4.8,"R"
"Aswang",82,70000,4.6,"Missing"
"Asylum of Satan",80,50000,2.9,"Missing"
"At Close Range",111,6500000,6.6,"Missing"
"At First Sight",128,40000000,5.7,"PG-13"
"At Long Last Love",105,6000000,4.3,"Missing"
"At Night with No Curtains",87,8000,2.7,"Missing"
